"SYMBOL","SYMBOL_NAME","INDEX_NAME","COMPANY_NAME","INDUSTRY","SERIES","ISIN_CODE","EXCHANGE","CREATED_AT","UPDATED_AT","SCRIP_CODE","","","","","","","","","","","","","","",""
"STK_ADANIPORTS_EQ_NSE","ADANIPORTS","Nifty 50","Adani Ports and Special Economic Zone Ltd.","SERVICES","EQ","INE742F01042","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_ASIANPAINT_EQ_NSE","ASIANPAINT","Nifty 50","Asian Paints Ltd.","CONSUMER GOODS","EQ","INE021A01026","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_AXISBANK_EQ_NSE","AXISBANK","Nifty 50","Axis Bank Ltd.","FINANCIAL SERVICES","EQ","INE238A01034","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BAJAJ-AUTO_EQ_NSE","BAJAJ-AUTO","Nifty 50","Bajaj Auto Ltd.","AUTOMOBILE","EQ","INE917I01010","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BAJAJFINSV_EQ_NSE","BAJAJFINSV","Nifty 50","Bajaj Finserv Ltd.","FINANCIAL SERVICES","EQ","INE918I01018","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BAJFINANCE_EQ_NSE","BAJFINANCE","Nifty 50","Bajaj Finance Ltd.","FINANCIAL SERVICES","EQ","INE296A01024","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BHARTIARTL_EQ_NSE","BHARTIARTL","Nifty 50","Bharti Airtel Ltd.","TELECOM","EQ","INE397D01024","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BPCL_EQ_NSE","BPCL","Nifty 50","Bharat Petroleum Corporation Ltd.","OIL & GAS","EQ","INE029A01011","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_BRITANNIA_EQ_NSE","BRITANNIA","Nifty 50","Britannia Industries Ltd.","CONSUMER GOODS","EQ","INE216A01030","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_CIPLA_EQ_NSE","CIPLA","Nifty 50","Cipla Ltd.","PHARMA","EQ","INE059A01026","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_COALINDIA_EQ_NSE","COALINDIA","Nifty 50","Coal India Ltd.","METALS","EQ","INE522F01014","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_DIVISLAB_EQ_NSE","DIVISLAB","Nifty 50","Divi's Laboratories Ltd.","PHARMA","EQ","INE361B01024","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_DRREDDY_EQ_NSE","DRREDDY","Nifty 50","Dr. Reddy's Laboratories Ltd.","PHARMA","EQ","INE089A01023","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_EICHERMOT_EQ_NSE","EICHERMOT","Nifty 50","Eicher Motors Ltd.","AUTOMOBILE","EQ","INE066A01021","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_GAIL_EQ_NSE","GAIL","Nifty 50","GAIL (India) Ltd.","OIL & GAS","EQ","INE129A01019","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_GRASIM_EQ_NSE","GRASIM","Nifty 50","Grasim Industries Ltd.","CEMENT & CEMENT PRODUCTS","EQ","INE047A01021","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_HCLTECH_EQ_NSE","HCLTECH","Nifty 50","HCL Technologies Ltd.","IT","EQ","INE860A01027","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_HDFCBANK_EQ_NSE","HDFCBANK","Nifty 50","HDFC Bank Ltd.","FINANCIAL SERVICES","EQ","INE040A01034","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_HDFCLIFE_EQ_NSE","HDFCLIFE","Nifty 50","HDFC Life Insurance Company Ltd.","FINANCIAL SERVICES","EQ","INE795G01014","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_HDFC_EQ_NSE","HDFC","Nifty 50","Housing Development Finance Corporation Ltd.","FINANCIAL SERVICES","EQ","INE001A01036","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_HEROMOTOCO_EQ_NSE","HEROMOTOCO","Nifty 50","Hero MotoCorp Ltd.","AUTOMOBILE","EQ","INE158A01026","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_HINDALCO_EQ_NSE","HINDALCO","Nifty 50","Hindalco Industries Ltd.","METALS","EQ","INE038A01020","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_HINDUNILVR_EQ_NSE","HINDUNILVR","Nifty 50","Hindustan Unilever Ltd.","CONSUMER GOODS","EQ","INE030A01027","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_ICICIBANK_EQ_NSE","ICICIBANK","Nifty 50","ICICI Bank Ltd.","FINANCIAL SERVICES","EQ","INE090A01021","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_INDUSINDBK_EQ_NSE","INDUSINDBK","Nifty 50","IndusInd Bank Ltd.","FINANCIAL SERVICES","EQ","INE095A01012","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_INFY_EQ_NSE","INFY","Nifty 50","Infosys Ltd.","IT","EQ","INE009A01021","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_IOC_EQ_NSE","IOC","Nifty 50","Indian Oil Corporation Ltd.","OIL & GAS","EQ","INE242A01010","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_ITC_EQ_NSE","ITC","Nifty 50","ITC Ltd.","CONSUMER GOODS","EQ","INE154A01025","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_JSWSTEEL_EQ_NSE","JSWSTEEL","Nifty 50","JSW Steel Ltd.","METALS","EQ","INE019A01038","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_KOTAKBANK_EQ_NSE","KOTAKBANK","Nifty 50","Kotak Mahindra Bank Ltd.","FINANCIAL SERVICES","EQ","INE237A01028","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_LT_EQ_NSE","LT","Nifty 50","Larsen & Toubro Ltd.","CONSTRUCTION","EQ","INE018A01030","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_M&M_EQ_NSE","M&M","Nifty 50","Mahindra & Mahindra Ltd.","AUTOMOBILE","EQ","INE101A01026","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_MARUTI_EQ_NSE","MARUTI","Nifty 50","Maruti Suzuki India Ltd.","AUTOMOBILE","EQ","INE585B01010","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_NESTLEIND_EQ_NSE","NESTLEIND","Nifty 50","Nestle India Ltd.","CONSUMER GOODS","EQ","INE239A01016","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_NTPC_EQ_NSE","NTPC","Nifty 50","NTPC Ltd.","POWER","EQ","INE733E01010","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_ONGC_EQ_NSE","ONGC","Nifty 50","Oil & Natural Gas Corporation Ltd.","OIL & GAS","EQ","INE213A01029","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_POWERGRID_EQ_NSE","POWERGRID","Nifty 50","Power Grid Corporation of India Ltd.","POWER","EQ","INE752E01010","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_RELIANCE_EQ_NSE","RELIANCE","Nifty 50","Reliance Industries Ltd.","OIL & GAS","EQ","INE002A01018","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_SBILIFE_EQ_NSE","SBILIFE","Nifty 50","SBI Life Insurance Company Ltd.","FINANCIAL SERVICES","EQ","INE123W01016","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_SBIN_EQ_NSE","SBIN","Nifty 50","State Bank of India","FINANCIAL SERVICES","EQ","INE062A01020","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_SHREECEM_EQ_NSE","SHREECEM","Nifty 50","Shree Cement Ltd.","CEMENT & CEMENT PRODUCTS","EQ","INE070A01015","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_SUNPHARMA_EQ_NSE","SUNPHARMA","Nifty 50","Sun Pharmaceutical Industries Ltd.","PHARMA","EQ","INE044A01036","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_TATAMOTORS_EQ_NSE","TATAMOTORS","Nifty 50","Tata Motors Ltd.","AUTOMOBILE","EQ","INE155A01022","NSE","2021-01-05 8:17:18","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_TATASTEEL_EQ_NSE","TATASTEEL","Nifty 50","Tata Steel Ltd.","METALS","EQ","INE081A01012","NSE","2021-01-05 8:17:18","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_TCS_EQ_NSE","TCS","Nifty 50","Tata Consultancy Services Ltd.","IT","EQ","INE467B01029","NSE","2021-01-05 8:17:17","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_TECHM_EQ_NSE","TECHM","Nifty 50","Tech Mahindra Ltd.","IT","EQ","INE669C01036","NSE","2021-01-05 8:17:18","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_TITAN_EQ_NSE","TITAN","Nifty 50","Titan Company Ltd.","CONSUMER GOODS","EQ","INE280A01028","NSE","2021-01-05 8:17:18","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_ULTRACEMCO_EQ_NSE","ULTRACEMCO","Nifty 50","UltraTech Cement Ltd.","CEMENT & CEMENT PRODUCTS","EQ","INE481G01011","NSE","2021-01-05 8:17:18","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_UPL_EQ_NSE","UPL","Nifty 50","UPL Ltd.","FERTILISERS & PESTICIDES","EQ","INE628A01036","NSE","2021-01-05 8:17:18","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
"STK_WIPRO_EQ_NSE","WIPRO","Nifty 50","Wipro Ltd.","IT","EQ","INE075A01022","NSE","2021-01-05 8:17:18","0000-00-00 00:00:00","STK","","","","","","","","","","","","","","",""
